 1 11003.611100 42102.500000 12281
 2 11108.611100 42373.888900 29702
 3 11133.333300 42885.833300 28561
 4 11155.833300 42712.500000 30050
 5 11183.333300 42933.333300 40071
 6 11297.500000 42853.333300 25393
 7 11310.277800 42929.444400 13334
 8 11416.666700 42983.333300 19772
 9 11423.888900 43000.277800 33356
10 11438.333300 42057.222200 35057
11 11461.111100 43252.777800 32986
12 11485.555600 43187.222200 31057
13 11503.055600 42855.277800 29275
14 11511.388900 42106.388900 16763
15 11522.222200 42841.944400 36698
16 11569.444400 43136.666700 36476
17 11583.333300 43150.000000 24986
18 11595.000000 43148.055600 26233
19 11600.000000 43150.000000 38926
20 11690.555600 42686.666700 33705
21 11715.833300 41836.111100 13481
22 11751.111100 42814.444400 23832
23 11770.277800 42651.944400 34322
24 11785.277800 42884.444400 12064
25 11822.777800 42673.611100 11209
26 11846.944400 42660.555600 32384
27 11963.055600 43290.555600 27342
28 11973.055600 43026.111100 27296
29 12058.333300 42195.555600 35401
30 12149.444400 42477.500000 21122
31 12286.944400 43355.555600 21670
32 12300.000000 42433.333300 19755
33 12355.833300 43156.388900 38844
34 12363.333300 43189.166700 14224
35 12372.777800 42711.388900 22435
36 12386.666700 43334.722200 21095
37 12421.666700 42895.555600 40815
38 12645.000000 42973.333300 39550
